,gamma,A,beta,dv,dtheta,Pwin
313,1.2,0.6080000000000001,5.2,0.0022433031346751897,-11.97569509643263,1
314,1.2,0.6080000000000001,5.2,0.006772037552952331,-12.18548500945662,0
315,1.2,0.6080000000000001,5.2,0.0015021467269851763,-12.41090672409289,0
316,1.2,0.6080000000000001,5.2,0.0018944483343186491,-12.081590913917651,1
317,1.2,0.6080000000000001,5.2,0.008604096498740582,-12.31993617018383,0
318,1.2,0.6080000000000001,5.2,0.011418610296821757,-13.910265197155752,1
319,1.2,0.6080000000000001,5.2,0.014241146412750844,-13.817854741763995,1
320,1.2,0.6080000000000001,5.2,0.0035600416872255403,-12.54366857146504,0
321,1.2,0.6080000000000001,5.2,0.00832731581555951,-12.572097518645279,1
322,1.2,0.6080000000000001,5.2,0.006368108324687982,-12.084781315061797,0
323,1.2,0.6080000000000001,5.2,0.00439653136098922,-12.589930290038218,1
324,1.2,0.6080000000000001,5.2,0.01387420004647133,-12.922019774116052,0
325,1.2,0.6080000000000001,5.2,-0.004747955622468963,-11.20604998472399,1
326,1.2,0.6080000000000001,5.2,0.005018082208402941,-12.440781247601272,1
327,1.2,0.6080000000000001,5.2,-0.004861318563130795,-11.682288529625566,1
328,1.2,0.6080000000000001,5.2,0.016560486923768353,-13.366979618380718,1
329,1.2,0.6080000000000001,5.2,0.011310654508805529,-13.37257381614674,1
330,1.2,0.6080000000000001,5.2,0.014265007462099355,-13.728717616000928,1
331,1.2,0.6080000000000001,5.2,-0.004863984337844907,-11.699935535591926,1
332,1.2,0.6080000000000001,5.2,-0.0004687553934212829,-11.909188185665343,1
333,1.2,0.6080000000000001,5.2,0.006239685883636881,-12.44197322623397,1
334,1.2,0.6080000000000001,5.2,0.00896392791697459,-13.27238472928741,1
335,1.2,0.6080000000000001,5.2,0.005094917828104867,-12.596005185600475,0
336,1.2,0.6080000000000001,5.2,-0.001492879103441147,-11.665291569150341,1
337,1.2,0.6080000000000001,5.2,0.01236961421685287,-13.237517157609837,1
338,1.2,0.6080000000000001,5.2,0.012589367891117836,-12.908537931787933,1
339,1.2,0.6080000000000001,5.2,-0.002693988391161639,-12.434645413178004,1
340,1.2,0.6080000000000001,5.2,0.012316191254358039,-13.22438306677595,1
341,1.2,0.6080000000000001,5.2,0.010187000342071095,-13.254786032182466,1
342,1.2,0.6080000000000001,5.2,-0.002867205219254737,-11.519902691788133,1
343,1.2,0.6080000000000001,5.2,0.007854220727905925,-12.805899275041632,0
344,1.2,0.6080000000000001,5.2,-0.0044816066827371714,-11.916604134221899,0
345,1.2,0.6080000000000001,5.2,0.00272746797039905,-11.765327685913448,1
346,1.2,0.6080000000000001,5.2,-0.008162886193744806,-11.782131796903244,0
347,1.2,0.6080000000000001,5.2,0.008989153414785178,-12.89640044593127,0
348,1.2,0.6080000000000001,5.2,0.006949102468603169,-12.864647476014447,1
349,1.2,0.6080000000000001,5.2,0.011790111012428661,-13.318505356092281,1
350,1.2,0.6080000000000001,5.2,-0.005943198087546758,-11.040140255161347,1
351,1.2,0.6080000000000001,5.2,0.013802389470555732,-14.240318977531622,1
352,1.2,0.6080000000000001,5.2,0.012505207976181626,-13.35219329173453,1
353,1.2,0.6080000000000001,5.2,0.010240708648895869,-13.267402253016094,1
354,1.2,0.6080000000000001,5.2,0.01566395691382161,-13.648614563266285,1
355,1.2,0.6080000000000001,5.2,0.008758467316076352,-12.728574658830794,1
